,Source,R.A. (h:m:s),Dec. ( $^{·}$:$^{'}$:$^{''}$),Distance (Mpc),Radio Program ID,Observation Date,Flux Density ( µ Jy),Peak X-ray Luminosity (1-10 keV erg s - $^{1}$)
0,M82 X-2,09:55:51.04,69:40:45.49,3.6,VLA AL629 α,2005 Jan 29,2.9 ± 0.1 mJy (8.5 GHz),9.0 × 10 39
1,NGC 5907 ULX-1,15:15:58.62,56:18:10.3,17.1,VLA 12A-183 β,2012 May 30,< 12.9 (5.0 GHz),7.6 × 10 40
2,,,,,VLA 19A-148,2019 March 05,< 18.3 (9.0 GHz),
3,,,,,,2019 April 30,< 15.3,
4,,,,,,2019 May 30,< 29.4,
5,,,,,,2019 July 01,< 22.2,
6,M51 ULX-7,13:30:01.098,47:13:42.33,8.58,VLA 12A-287,2012 June 02,< 53.4 (6.0 GHz),4.0 × 10 39
7,Swift J0243,02:43:40.43,61:26:03.76,5 . 2 × 10 - 3,VLA 17B-406 γ,2017 Oct 10,< 12 (6.0 GHz),8.7 × 10 38
8,,,,,,2017 Nov 08,77.1 ± 4.2,
9,,,,,VLA 17B-420 γ,2017 Nov 15,92.6 ± 3.8,
10,,,,,,2017 Nov 21,63.4 ± 4.3,
11,,,,,,2017 Nov 23,55.3 ± 4.4,
12,,,,,,2017 Nov 28,34.8 ± 4.0,
13,,,,,,2017 Dec 02,24.7 ± 4.5,
14,,,,,,2018 Jan 09,21.3 ± 4.0,
15,NGC 300 ULX-1,00:55:04.86,37:41:43.7,1.88,ATCA C3050,2015 Oct 21-23,< 14.4 (5.0 GHz),2.4 × 10 39
16,NGC 1313 X-2,03:18:22.18,-66:36:03.3,3.7,ATCA C2588,2011 Dec 16,< 124.5 (5.0 GHz),6.0 × 10 39
17,NGC 7793 P13,23:57:50.9,- 32:37:26.6,3.83,ATCA C3547,2023 Dec 16,< 36.2 (5.0 GHz),3.7 × 10 39
